0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:26 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:27 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:27 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:27 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:27 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:28 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:28 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:28 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:28 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:28 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:28 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:29 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:29 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:36 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:36 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:42 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:01:42 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:03:06 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:03:08 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:03:08 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:03:16 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:03:16 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:03:24 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:03:24 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:03:30 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:03:30 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:03:34 -0700] "POST /AnalyticalBackgroundScreening/financeControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:03:34 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 200 809
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:03:35 -0700] "GET /AnalyticalBackgroundScreening/finance.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Dec/2016:17:03:35 -0700] "GET /AnalyticalBackgroundScreening/style.css HTTP/1.1" 304 -
